commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Ginger,2000-01-03,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),60894.09,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,,,,,,,,,,,,,,,,,,,,,,,,,,,13.887280258490405,1.0,0,0,,964458.6,0,2000,1
Ginger,2000-01-10,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),59751.12,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,,,,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,,,,0.0,,,13.887280258490405,1.0,0,0,,964458.6,1,2000,1
Ginger,2000-01-17,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),61165.84,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,1074406.88,,,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,,,,0.0,0.0,,13.887280258490405,1.0,0,0,,964458.6,2,2000,1
Ginger,2000-01-24,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),62741.45,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,1074406.88,,,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,,,,0.0,0.0,,13.887280258490405,1.0,0,0,,964458.6,3,2000,1
Ginger,2000-01-31,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),59578.52,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,1074406.88,1074406.88,,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,0.0,,,0.0,0.0,,13.887280258490405,1.0,0,0,,964458.6,4,2000,1
Ginger,2000-02-07,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),57096.11,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,1074406.88,1074406.88,,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,0.0,,,0.0,0.0,,13.887280258490405,1.0,0,0,,964458.6,5,2000,1
Ginger,2000-02-14,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),60224.14,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,1074406.88,1074406.88,,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,0.0,,,0.0,0.0,,13.887280258490405,1.0,0,0,,964458.6,6,2000,1
Ginger,2000-02-21,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),58823.82,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,1074406.88,1074406.88,,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,0.0,,,0.0,0.0,,13.887280258490405,1.0,0,0,,964458.6,7,2000,1
Ginger,2000-02-28,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),56690.16,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,1074406.88,1074406.88,1074406.88,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,0.0,,,0.0,0.0,,13.887280258490405,1.0,0,0,,964458.6,8,2000,1
Ginger,2000-03-06,1074406.88,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),55895.22,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,8881.6,1074406.88,1074406.88,1074406.88,1074406.88,,,,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,0.0,1074406.88,1074406.88,1074406.88,1074406.88,0.0,0.0,,,0.0,0.0,,13.887280258490405,1.0,0,0,,964458.6,9,2000,1
