commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Hibiscus,2010-01-04,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),96415.64,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.120536680255323,0.992708874098054,1,1346.56,,,,,,,,,,,,,,,,,,,,,,,,,,,12.217947904697724,1.0,0,0,0.0,181677.03,0,2010,1
Hibiscus,2010-01-11,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),94605.95,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,1,1346.56,202388.21,,,,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,,,,0.0,,,12.217947904697724,1.0,0,0,0.0,181677.03,1,2010,1
Hibiscus,2010-01-18,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),96845.91,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,1346.56,202388.21,202388.21,,,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,,,,0.0,0.0,,12.217947904697724,1.0,0,0,0.0,181677.03,2,2010,1
Hibiscus,2010-01-25,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),99340.64,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,1346.56,202388.21,202388.21,,,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,,,,0.0,0.0,,12.217947904697724,1.0,0,0,0.0,181677.03,3,2010,1
Hibiscus,2010-02-01,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),94332.66,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,1346.56,202388.21,202388.21,202388.21,,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,0.0,,,0.0,0.0,,12.217947904697724,1.0,0,0,0.0,181677.03,4,2010,1
Hibiscus,2010-02-08,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),94332.71,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,1346.56,202388.21,202388.21,202388.21,,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,0.0,,,0.0,0.0,,12.217947904697724,1.0,0,0,0.0,181677.03,5,2010,1
Hibiscus,2010-02-15,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),99500.76,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,1346.56,202388.21,202388.21,202388.21,,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,0.0,,,0.0,0.0,,12.217947904697724,1.0,0,0,0.0,181677.03,6,2010,1
Hibiscus,2010-02-22,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),97187.19,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,1346.56,202388.21,202388.21,202388.21,,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,0.0,,,0.0,0.0,,12.217947904697724,1.0,0,0,0.0,181677.03,7,2010,1
Hibiscus,2010-03-01,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),95633.83,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,0,1346.56,202388.21,202388.21,202388.21,202388.21,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,0.0,,,0.0,0.0,,12.217947904697724,1.0,0,0,0.0,181677.03,8,2010,1
Hibiscus,2010-03-08,202388.21,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),98578.85,150.3,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,0,1346.56,202388.21,202388.21,202388.21,202388.21,,,,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,0.0,202388.21,202388.21,202388.21,202388.21,0.0,0.0,,,0.0,0.0,,12.217947904697724,1.0,0,0,0.0,181677.03,9,2010,1
